-0,8792596
-1,508653
0,875009
1,197589
-0,9442769
-1,412209
-0,5790716
0,5677587
-0,3325132
0,5488028
-0,853165
3,194497
1,685968
-1,307728
-0,6095906
-1,118483
0,4586108
-0,5560251
1,149479
1,86441
-1,21027
-1,33627
1,78044
-0,0843147
1,31084
-0,9119666
0,7305304
-3,310322
0,1464247
0,194758
0,3546337
0,736487
1,454314
1,957559
0,5344292
-0,8482401
0,8931225
0,3528456
0,285162
-0,7105524
0,6108414
0,3809307
0,2054059
-1,399866
1,133864
1,573424
0,2129959
0,03729992
-1,398133
0,6018531
1,248957
0,2433345
0,1246712
0,4705164
1,15677
0,112623
0,1205501
-1,412619
0,01140702
0,8674499
-0,9161259
-1,281515
-1,618271
1,283792
0,0634191
-1,632386
1,335789
-0,5932155
0,3846013
0,1807166
-0,1081656
-1,379272
0,7985953
1,146625
-0,754855
-1,023102
1,068359
1,708173
-1,457857
-2,24718
2,244009
-0,2830349
-2,851281
-0,5902463
-1,663523
-0,1787536
-1,552458
0,1630571
0,5968821
0,4400226
-0,6925612
-0,2538906
-2,241019
-0,9326601
0,3257132
-0,002456442
-0,1629784
1,122379
0,0142265
-1,203863
0,3892254
3,004958
0,1774381
2,034395
1,223177
0,05611369
-0,631083
0,2295172
-1,0345
-0,05086619
0,3208168
0,9087026
1,47224
-1,888171
-1,10819
